,binetv1,binetv2,binetv3,dae,like,edbn,naive,sample,tsp,nerfcm,stat_lev,true_anomalies
binetv1,1.0,0.9450712318227465,1.0,0.6090345388787624,0.09098359551222024,0.270499880683455,1.0,1.0,0.8786764557818472,0.007084871270175763,0.43525909392190065,1.0
binetv2,0.9450712318227465,1.0,0.9450712318227465,0.5415368753105809,0.09279099679790992,0.26605697660194894,0.9450712318227465,0.9450712318227465,0.8772005454990114,0.009406320907210941,0.45892351557005207,0.9450712318227465
binetv3,1.0,0.9450712318227465,1.0,0.6090345388787624,0.09098359551222024,0.270499880683455,1.0,1.0,0.8786764557818472,0.007084871270175763,0.43525909392190065,1.0
dae,0.6090345388787624,0.5415368753105809,0.6090345388787624,1.0,0.07656995091216579,0.2535301185231591,0.6090345388787624,0.6090345388787624,0.5674316468477654,0.004837739646445405,0.24490610143966507,0.6090345388787624
like,0.09098359551222024,0.09279099679790992,0.09098359551222024,0.07656995091216579,1.0,0.4689038368318088,0.09098359551222024,0.09098359551222024,0.1011909674850826,0.00047422434378019407,0.062258473539014925,0.09098359551222024
edbn,0.270499880683455,0.26605697660194894,0.270499880683455,0.2535301185231591,0.4689038368318088,1.0,0.270499880683455,0.270499880683455,0.24831776496976243,0.02228413461330314,0.1898922899044605,0.270499880683455
naive,1.0,0.9450712318227465,1.0,0.6090345388787624,0.09098359551222024,0.270499880683455,1.0,1.0,0.8786764557818472,0.007084871270175763,0.43525909392190065,1.0
sample,1.0,0.9450712318227465,1.0,0.6090345388787624,0.09098359551222024,0.270499880683455,1.0,1.0,0.8786764557818472,0.007084871270175763,0.43525909392190065,1.0
tsp,0.8786764557818472,0.8772005454990114,0.8786764557818472,0.5674316468477654,0.1011909674850826,0.24831776496976243,0.8786764557818472,0.8786764557818472,1.0,0.008437791076396417,0.5199774482479844,0.8786764557818472
nerfcm,0.007084871270175763,0.009406320907210941,0.007084871270175763,0.004837739646445405,0.00047422434378019407,0.02228413461330314,0.007084871270175763,0.007084871270175763,0.008437791076396417,1.0,-0.007515282991518379,0.007084871270175763
stat_lev,0.43525909392190065,0.45892351557005207,0.43525909392190065,0.24490610143966507,0.062258473539014925,0.1898922899044605,0.43525909392190065,0.43525909392190065,0.5199774482479844,-0.007515282991518379,1.0,0.43525909392190065
true_anomalies,1.0,0.9450712318227465,1.0,0.6090345388787624,0.09098359551222024,0.270499880683455,1.0,1.0,0.8786764557818472,0.007084871270175763,0.43525909392190065,1.0
