CaseID,attributes,name,timestamp,timestamp_end
0,Sherlene,Activity A,,
0,Earl,Activity B,,
0,Brant,Activity C,,
0,Lourdes,Activity D,,
0,Hugo,Activity E,,
0,Lourdes,Activity G,,
0,Hoyt,Activity H,,
0,Jack,Activity I,,
0,Sonia,Activity J,,
0,Howard,Activity F,,
1,Random user 58,Random activity 18,,
1,Sherlene,Activity A,,
1,Doretta,Activity B,,
1,Brant,Activity C,,
1,Lourdes,Activity D,,
1,Random user 17,Random activity 11,,
1,Paul,Activity E,,
1,Ryan,Activity T,,
1,Lisa,Activity F,,
2,Sherlene,Activity A,,
2,Earl,Activity B,,
2,Brant,Activity C,,
2,Lourdes,Activity D,,
2,Tiffiny,Activity E,,
2,Melany,Activity K,,
2,Melany,Activity O,,
2,Jimmy,Activity P,,
2,Amanda,Activity L,,
2,Emily,Activity F,,
3,Sherlene,Activity A,,
3,Doretta,Activity B,,
3,James,Activity C,,
3,Lourdes,Activity D,,
3,Tiffiny,Activity E,,
3,Pam,Activity K,,
3,Issac,Activity M,,
3,Sonia,Activity N,,
3,Keven,Activity L,,
3,Howard,Activity F,,
4,Sherlene,Activity A,,
4,Doretta,Activity B,,
4,James,Activity C,,
4,Lourdes,Activity D,,
4,Gema,Activity E,,
4,Melany,Activity K,,
4,Melany,Activity O,,
4,Sigrid,Activity P,,
4,Amanda,Activity L,,
4,Emily,Activity F,,
5,Sherlene,Activity A,,
5,Doretta,Activity B,,
5,Brant,Activity C,,
5,Lourdes,Activity D,,
5,Paul,Activity E,,
5,Ryan,Activity T,,
5,Lisa,Activity F,,
6,Sherlene,Activity A,,
6,Doretta,Activity B,,
6,Brant,Activity C,,
6,Lourdes,Activity D,,
6,Hugo,Activity E,,
6,Lourdes,Activity G,,
6,Hoyt,Activity H,,
6,Jack,Activity I,,
6,Sonia,Activity J,,
6,Howard,Activity F,,
7,Sherlene,Activity A,,
7,Doretta,Activity B,,
7,Brant,Activity C,,
7,Lourdes,Activity D,,
7,Paul,Activity E,,
7,Ryan,Activity T,,
7,Lisa,Activity F,,
8,Sherlene,Activity A,,
8,Earl,Activity B,,
8,James,Activity C,,
8,Lourdes,Activity D,,
8,Hugo,Activity E,,
8,Elisha,Activity G,,
8,Hoyt,Activity H,,
8,Jack,Activity I,,
8,Sonia,Activity J,,
8,Howard,Activity F,,
9,Sherlene,Activity A,,
9,Earl,Activity B,,
9,Brant,Activity C,,
9,Lourdes,Activity D,,
9,Earl,Activity B,,
9,Brant,Activity C,,
9,Tiffiny,Activity E,,
9,Rossana,Activity K,,
9,Carmella,Activity R,,
9,Velda,Activity S,,
9,Amanda,Activity L,,
9,Emily,Activity F,,
10,Sherlene,Activity A,,
10,Earl,Activity B,,
10,James,Activity C,,
10,Lourdes,Activity D,,
10,Gema,Activity E,,
10,Pam,Activity K,,
10,Issac,Activity M,,
10,Sonia,Activity N,,
10,Keven,Activity L,,
10,Howard,Activity F,,
11,Sherlene,Activity A,,
11,Earl,Activity B,,
11,Brant,Activity C,,
11,Lourdes,Activity D,,
11,Hugo,Activity E,,
11,Elisha,Activity G,,
11,James,Activity H,,
11,Jack,Activity I,,
11,Sonia,Activity J,,
11,Howard,Activity F,,
12,Sherlene,Activity A,,
12,Earl,Activity B,,
12,James,Activity C,,
12,Lourdes,Activity D,,
12,Hugo,Activity E,,
12,Elisha,Activity G,,
12,James,Activity H,,
12,Jack,Activity I,,
12,Sonia,Activity J,,
12,Howard,Activity F,,
13,Sherlene,Activity A,,
13,Earl,Activity B,,
13,Brant,Activity C,,
13,Lourdes,Activity D,,
13,Hugo,Activity E,,
13,Elisha,Activity G,,
13,Hoyt,Activity H,,
13,Jack,Activity I,,
13,Sonia,Activity J,,
13,Howard,Activity F,,
14,Sherlene,Activity A,,
14,Earl,Activity B,,
14,James,Activity C,,
14,Lourdes,Activity D,,
14,Gema,Activity E,,
14,Pam,Activity K,,
14,Issac,Activity M,,
14,Sonia,Activity N,,
14,Jack,Activity L,,
14,Howard,Activity F,,
15,Sherlene,Activity A,,
15,Doretta,Activity B,,
15,Donald,Activity C,,
15,Lourdes,Activity D,,
15,Della,Activity E,,
15,Pam,Activity K,,
15,Issac,Activity M,,
15,Sonia,Activity N,,
15,Ling,Activity L,,
15,Howard,Activity F,,
16,Sherlene,Activity A,,
16,Doretta,Activity B,,
16,James,Activity C,,
16,Lourdes,Activity D,,
16,Della,Activity E,,
16,Ryan,Activity T,,
16,Lisa,Activity F,,
17,Sherlene,Activity A,,
17,Doretta,Activity B,,
17,Brant,Activity C,,
17,Lourdes,Activity D,,
17,Della,Activity E,,
17,Ryan,Activity T,,
17,Lisa,Activity F,,
18,Sherlene,Activity A,,
18,Earl,Activity B,,
18,Brant,Activity C,,
18,Lourdes,Activity D,,
18,Paul,Activity E,,
18,Ryan,Activity T,,
18,Lisa,Activity F,,
19,Sherlene,Activity A,,
19,Earl,Activity B,,
19,Lourdes,Activity D,,
19,Gema,Activity E,,
19,Brant,Activity C,,
19,Pam,Activity K,,
19,Issac,Activity M,,
19,Sonia,Activity N,,
19,Keven,Activity L,,
19,Howard,Activity F,,
20,Earl,Activity B,,
20,James,Activity C,,
